"time","x","y","z","abs"
5.693541925E0,2.777273893E0,5.755661011E0,-1.915361285E-1,6.393556916E0
5.713530415E0,-8.906430602E-1,1.120486379E0,-7.661445439E-2,1.433389187E0
5.733516352E0,-1.283292055E0,2.968810201E-1,8.523358107E-1,1.568901900E0
5.753534165E0,-2.585737705E-1,7.086837292E-1,3.830722570E-1,8.460717327E-1
5.773534894E0,-2.202665508E-1,8.140285611E-1,-4.118026793E-1,9.384781822E-1
5.793532081E0,-4.213795066E-1,7.661445439E-2,1.139639974E0,1.217460362E0
5.813525883E0,1.216254473E0,1.244984865E0,1.043871999E0,2.029514968E0
5.833533488E0,-8.523358107E-1,-8.331822157E-1,5.171475410E-1,1.299273073E0
5.853529165E0,6.607996821E-1,-2.394201756E-1,-5.746083856E-1,9.078287488E-1
5.873521613E0,8.619126081E-1,-4.596867263E-1,-5.171475410E-1,1.105281326E0
5.893521613E0,1.628057212E-1,-1.254561663E0,1.350329757E0,1.850357025E0
5.913538748E0,-7.661445439E-2,-7.852981687E-1,1.532289028E0,1.723505919E0
5.933533748E0,1.244984865E-1,-4.309563041E-1,2.202665508E-1,4.997404952E-1
5.953564008E0,1.915361360E-2,-1.915361360E-2,-4.788403213E-2,5.501456499E-2
5.973523383E0,2.873041928E-1,2.873041928E-1,2.202665508E-1,4.621739410E-1
5.993530519E0,2.873041928E-1,8.619125932E-2,6.224924326E-1,6.909916505E-1
6.013529321E0,3.926490843E-1,1.628057212E-1,4.405331016E-1,6.121669869E-1
6.033546040E0,-9.576806799E-3,-1.532289088E-1,3.160346150E-1,3.513526599E-1
6.053533279E0,5.746084079E-2,-1.149216816E-1,3.160346150E-1,3.411548315E-1
6.073730987E0,-2.777273953E-1,-1.723825186E-1,5.075707436E-1,6.037187247E-1
6.093530050E0,-2.011129409E-1,-4.501099288E-1,9.097966552E-1,1.034782739E0
6.113558748E0,-2.394201756E-1,-3.160346150E-1,4.022258818E-1,5.647880650E-1
6.133529737E0,-1.340752989E-1,-9.576806426E-2,4.884171486E-1,5.154600071E-1
6.153556925E0,1.915361285E-1,2.202665508E-1,3.256114423E-1,4.372942411E-1
6.173536977E0,-1.340752989E-1,-1.819593310E-1,2.681505978E-1,3.506994825E-1
6.193530206E0,1.149216816E-1,-3.256114423E-1,5.267243981E-1,6.298161604E-1
6.213541039E0,-4.788403213E-2,-2.873042040E-2,-6.703764945E-2,8.724886265E-2
6.233537498E0,1.532289088E-1,-1.723825186E-1,5.746084079E-2,2.376900912E-1
6.253541717E0,9.576806799E-3,-2.202665508E-1,2.298433632E-1,3.184918213E-1
6.273526508E0,3.830722719E-2,-1.819593310E-1,5.075707436E-1,5.405596188E-1
6.293529737E0,2.681505978E-1,-4.788403213E-2,3.447650373E-1,4.393865662E-1
6.313532654E0,-8.714894056E-1,4.405331016E-1,-1.244984865E0,1.582261202E0
6.333532498E0,-3.639186621E-1,-9.576806799E-3,3.830722719E-2,3.660545745E-1
6.353523435E0,9.576806799E-3,-5.650315881E-1,6.895300746E-1,8.915178823E-1
6.373527914E0,2.489969730E-1,-3.160346150E-1,1.972822189E0,2.013431092E0
6.393532654E0,-5.841852427E-1,0.000000000E0,4.405331016E-1,7.316705620E-1
6.413558956E0,-2.489969730E-1,-1.053448766E-1,-4.692635238E-1,5.415766708E-1
6.433537602E0,-9.576806799E-3,-4.022258818E-1,-8.044517636E-1,8.994553992E-1
6.453541664E0,4.884171486E-1,-8.427590132E-1,8.523358107E-1,1.294322371E0
6.473568800E0,-5.458779931E-1,-1.532289088E-1,1.503558636E0,1.606907108E0
6.493537081E0,-7.374141216E-1,4.213795066E-1,1.053448796E0,1.353179457E0
6.513517289E0,-2.202665508E-1,4.213795066E-1,8.236053586E-1,9.510014872E-1
6.533576091E0,-2.873042040E-2,3.256114423E-1,3.734954596E-1,4.963336647E-1
6.553524581E0,1.819593310E-1,-3.830722719E-2,3.160346150E-1,3.666804054E-1
6.573512237E0,2.873041928E-1,-1.915361285E-1,4.501099288E-1,5.672995115E-1
6.593530362E0,5.746084079E-2,-1.723825186E-1,3.830722570E-1,4.239832958E-1
6.613520050E0,-3.830722719E-2,-1.244984865E-1,3.447650373E-1,3.685515537E-1
6.633628331E0,1.819593310E-1,-1.340752989E-1,1.436520964E-1,2.678083433E-1
